comuna,total_empresas,empresas_grandes,pct_grande,pct_pyme
HUECHURABA,124265,7771,6.25,93.75
QUILICURA,180671,8633,4.78,95.22
LAS CONDES,1155969,51980,4.5,95.5
TIMAUKEL,504,22,4.37,95.63
SANTO DOMINGO,40700,1573,3.86,96.14
LAMPA,105177,3452,3.28,96.72
ZAPALLAR,24445,753,3.08,96.92
VITACURA,313355,9565,3.05,96.95
PUDAHUEL,182521,5193,2.85,97.15
ISLA DE PASCUA,4589,128,2.79,97.21
CERRILLOS,77616,2105,2.71,97.29
PROVIDENCIA,1011109,25319,2.5,97.5
RENCA,108938,2660,2.44,97.56
IQUIQUE,289411,6713,2.32,97.68
COLINA,126512,2687,2.12,97.88
MACUL,121977,2495,2.05,97.95
LO BARNECHEA,206399,4127,2.0,98.0
MOSTAZAL,25152,494,1.96,98.04
CASABLANCA,45153,848,1.88,98.12
SANTIAGO,1265408,23154,1.83,98.17
CONCHALI,112971,2061,1.82,98.18
OLIVAR,19655,346,1.76,98.24
ROMERAL,30564,532,1.74,98.26
SAN BERNARDO,263953,4583,1.74,98.26
SAN GREGORIO,582,10,1.72,98.28
MEJILLONES,12246,186,1.52,98.48
SAN JOAQUIN,106563,1606,1.51,98.49
LAS CABRAS,35749,529,1.48,98.52
ESTACION CENTRAL,148622,2140,1.44,98.56
RECOLETA,244635,3518,1.44,98.56
REQUINOA,34467,476,1.38,98.62
VICHUQUEN,7681,103,1.34,98.66
PORVENIR,13779,178,1.29,98.71
PANQUEHUE,10179,127,1.25,98.75
QUINTA NORMAL,150056,1828,1.22,98.78
INDEPENDENCIA,105538,1220,1.16,98.84
NUNOA,335908,3871,1.15,98.85
CABO DE HORNOS,2965,34,1.15,98.85
PUERTO MONTT,344846,3895,1.13,98.87
LA ESTRELLA,6208,70,1.13,98.87
DONIHUE,22023,246,1.12,98.88
CORONEL,93039,1013,1.09,98.91
PAINE,81963,883,1.08,98.92
SAN MIGUEL,164291,1718,1.05,98.95
CODEGUA,13169,137,1.04,98.96
TIERRA AMARILLA,13112,132,1.01,98.99
COLTAUCO,22508,226,1.0,99.0
SAGRADA FAMILIA,27056,270,1.0,99.0
ANTOFAGASTA,410844,4047,0.99,99.01
PUNTA ARENAS,194569,1907,0.98,99.02
LAUTARO,38653,379,0.98,99.02
PIRQUE,29321,286,0.98,99.02
CONCON,52914,504,0.95,99.05
DIEGO DE ALMAGRO,14800,141,0.95,99.05
CONCEPCION,442806,4181,0.94,99.06
PUERTO VARAS,92712,868,0.94,99.06
MARIA PINTO,16232,152,0.94,99.06
CHILLAN VIEJO,22147,205,0.93,99.07
SAN RAFAEL,11412,105,0.92,99.08
TALCAHUANO,151426,1399,0.92,99.08
TREHUACO,3949,36,0.91,99.09
CALERA DE TANGO,31257,285,0.91,99.09
PUERTO OCTAY,11480,102,0.89,99.11
CHONCHI,17512,156,0.89,99.11
HIJUELAS,27664,247,0.89,99.11
RANCAGUA,269068,2363,0.88,99.12
TORTEL,1647,14,0.85,99.15
PURRANQUE,26103,221,0.85,99.15
VINA DEL MAR,464455,3930,0.85,99.15
SIERRA GORDA,2235,19,0.85,99.15
OSORNO,234756,2003,0.85,99.15
BULNES,26780,224,0.84,99.16
VALPARAISO,313988,2597,0.83,99.17
LA REINA,139517,1159,0.83,99.17
PUYEHUE,15575,129,0.83,99.17
SAN PABLO,11104,91,0.82,99.18
POZO ALMONTE,14978,121,0.81,99.19
EL TABO,16440,129,0.78,99.22
CONSTITUCION,59663,465,0.78,99.22
HUARA,2716,21,0.77,99.23
RENGO,64773,489,0.75,99.25
CURICO,238628,1764,0.74,99.26
RANQUIL,7143,52,0.73,99.27
LOS ANGELES,269650,1971,0.73,99.27
LOS ANDES,85907,631,0.73,99.27
BUIN,105793,769,0.73,99.27
ANDACOLLO,10520,76,0.72,99.28
SAN PEDRO DE LA PAZ,116805,830,0.71,99.29
