rubro,pct_pyme_ventas_oficial,pct_pyme_trabajadores,diferencia_pp
"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",91.64,99.0,-7.36
EXPLOTACION DE MINAS Y CANTERAS,95.92,98.47,-2.55
ACTIVIDADES FINANCIERAS Y DE SEGUROS,96.25,99.75,-3.5
ACTIVIDADES INMOBILIARIAS,97.87,99.87,-2.0
ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,98.04,60.95,37.09
INDUSTRIA MANUFACTURERA,98.05,99.4,-1.35
ENSENANZA,98.15,98.46,-0.31
"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION",98.19,99.25,-1.06
INFORMACION Y COMUNICACIONES,98.35,99.51,-1.16
CONSTRUCCION,98.59,99.09,-0.5
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,98.7,98.84,-0.14
COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,98.92,99.83,-0.91
"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",99.12,99.71,-0.59
ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,99.19,99.8,-0.61
"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",99.2,99.37,-0.17
ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,99.3,99.4,-0.1
TRANSPORTE Y ALMACENAMIENTO,99.35,99.8,-0.45
"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",99.45,99.53,-0.08
ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,99.68,99.78,-0.1
OTRAS ACTIVIDADES DE SERVICIOS,99.79,99.73,0.06
ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,100.0,100.0,0.0
