rubro,n_comunas,r_absoluta,p_absoluta,r_relativa,p_relativa,mismo_signo,sig_absoluta,sig_relativa
COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,342,0.5751825813835302,1.6375345821573354e-31,0.32168472530899334,1.1302582577391418e-09,True,True,True
TRANSPORTE Y ALMACENAMIENTO,338,0.41788947097319545,1.0194044492501273e-15,0.1334628092598663,0.014065385760036596,True,True,True
ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,344,0.35946045755740275,6.2498702489641886e-12,-0.5345176935487818,8.244883526037839e-27,False,True,True
EXPLOTACION DE MINAS Y CANTERAS,221,0.3478129179200098,1.108676043719116e-07,0.0605192763486303,0.37057181826183033,True,True,False
"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION",293,0.3475005269423555,9.690456561758127e-10,-0.6439656153030974,1.0307657807725617e-35,False,True,True
INDUSTRIA MANUFACTURERA,336,0.290926265841131,5.609915287972925e-08,0.19911088305810276,0.00023971479331305577,True,True,True
CONSTRUCCION,335,0.27675537612398204,2.641098770877646e-07,0.2637018174024191,9.809817044169415e-07,True,True,True
INFORMACION Y COMUNICACIONES,269,0.24916729332234985,3.580783287410336e-05,0.0492811154207763,0.4208221696185948,True,True,False
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,330,0.24272073461471746,8.220015451152511e-06,0.1274780492798045,0.020535080730407863,True,True,True
ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,33,0.09932982501835899,0.5823413826633943,-0.8124408415965098,9.400516023617364e-09,False,False,True
"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",285,0.09550496926010088,0.10763749396721399,-0.11175624397510403,0.059527426217165134,False,False,False
"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",138,0.0848795524605478,0.3222587133817247,-0.3780030599259901,4.856253191648069e-06,False,False,True
ACTIVIDADES INMOBILIARIAS,293,0.07197152349199885,0.21934136091258713,-0.12518765350586844,0.03218209601302661,False,False,True
"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",300,0.04423127308534246,0.44529433599872537,-0.08933862761912227,0.1225836126270296,False,False,False
OTRAS ACTIVIDADES DE SERVICIOS,331,0.03533337943941077,0.521780840699525,-0.013176080277846823,0.8112441666488189,False,False,False
ENSENANZA,261,-0.10879014944983405,0.07937345026987644,-0.41957030956720154,1.4944877528852192e-12,True,False,True
ACTIVIDADES FINANCIERAS Y DE SEGUROS,247,-0.14113278602914728,0.026559084846449182,-0.505851356346989,1.8783814258079672e-17,True,True,True
ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,223,-0.24516001270861557,0.00021814183253563436,-0.4249460019864332,3.427797555408593e-11,True,True,True
"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",341,-0.2680203317597998,5.078008229103163e-07,-0.5039448716668331,2.3099780622518407e-23,True,True,True
