rubro,n_comunas,spearman_r,p_valor
COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,342,0.5751825813835302,1.6375345821573354e-31
TRANSPORTE Y ALMACENAMIENTO,338,0.41788947097319545,1.0194044492501273e-15
ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,344,0.35946045755740275,6.2498702489641886e-12
EXPLOTACION DE MINAS Y CANTERAS,221,0.3478129179200098,1.108676043719116e-07
"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION",293,0.3475005269423555,9.690456561758127e-10
INDUSTRIA MANUFACTURERA,336,0.290926265841131,5.609915287972925e-08
CONSTRUCCION,335,0.27675537612398204,2.641098770877646e-07
INFORMACION Y COMUNICACIONES,269,0.24916729332234985,3.580783287410336e-05
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,330,0.24272073461471746,8.220015451152511e-06
ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,33,0.09932982501835899,0.5823413826633943
"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",285,0.09550496926010088,0.10763749396721399
"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",138,0.0848795524605478,0.3222587133817247
ACTIVIDADES INMOBILIARIAS,293,0.07197152349199885,0.21934136091258713
"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",300,0.04423127308534246,0.44529433599872537
OTRAS ACTIVIDADES DE SERVICIOS,331,0.03533337943941077,0.521780840699525
ENSENANZA,261,-0.10879014944983405,0.07937345026987644
ACTIVIDADES FINANCIERAS Y DE SEGUROS,247,-0.14113278602914728,0.026559084846449182
ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,223,-0.24516001270861557,0.00021814183253563436
"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",341,-0.2680203317597998,5.078008229103163e-07
