rubro,n_comunas,spearman_r,p_valor_original,p_ajustado_fdr,p_ajustado_bonferroni,significativo_original,significativo_fdr,significativo_bonferroni,cambia_conclusion_fdr,cambia_conclusion_bonferroni
COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,342,0.5751825813835302,1.6375345821573354e-31,3.1113157060989372e-30,3.1113157060989372e-30,True,True,True,False,False
TRANSPORTE Y ALMACENAMIENTO,338,0.4178894709731954,1.0194044492501273e-15,9.68434226787621e-15,1.936868453575242e-14,True,True,True,False,False
ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,344,0.3594604575574027,6.249870248964189e-12,3.95825115767732e-11,1.1874753473031959e-10,True,True,True,False,False
EXPLOTACION DE MINAS Y CANTERAS,221,0.3478129179200098,1.108676043719116e-07,3.5108074717772006e-07,2.1064844830663204e-06,True,True,True,False,False
"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION",293,0.3475005269423555,9.690456561758127e-10,4.60296686683511e-09,1.841186746734044e-08,True,True,True,False,False
INDUSTRIA MANUFACTURERA,336,0.290926265841131,5.609915287972925e-08,2.1317678094297115e-07,1.0658839047148559e-06,True,True,True,False,False
CONSTRUCCION,335,0.276755376123982,2.641098770877646e-07,7.168696663810754e-07,5.018087664667528e-06,True,True,True,False,False
INFORMACION Y COMUNICACIONES,269,0.2491672933223498,3.580783287410336e-05,6.803488246079638e-05,0.0006803488246079638,True,True,True,False,False
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,330,0.2427207346147174,8.220015451152511e-06,1.735336595243308e-05,0.0001561802935718977,True,True,True,False,False
ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,33,0.0993298250183589,0.5823413826633943,0.5823413826633943,1.0,False,False,False,False,False
"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",285,0.0955049692601008,0.1076374939672139,0.14607945609836173,1.0,False,False,False,False,False
"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",138,0.0848795524605478,0.3222587133817247,0.38268222214079806,1.0,False,False,False,False,False
ACTIVIDADES INMOBILIARIAS,293,0.0719715234919988,0.2193413609125871,0.277832390489277,1.0,False,False,False,False,False
"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",300,0.0442312730853424,0.4452943359987253,0.49768190493975184,1.0,False,False,False,False,False
OTRAS ACTIVIDADES DE SERVICIOS,331,0.0353333794394107,0.521780840699525,0.550768665182832,1.0,False,False,False,False,False
ENSENANZA,261,-0.108790149449834,0.0793734502698764,0.11600735039443473,1.0,False,False,False,False,False
ACTIVIDADES FINANCIERAS Y DE SEGUROS,247,-0.1411327860291472,0.0265590848464491,0.04205188434021107,0.5046226120825329,True,True,False,False,True
ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,223,-0.2451600127086155,0.0002181418325356,0.00037679043801603637,0.0041446948181764,True,True,True,False,False
"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",341,-0.2680203317597998,5.078008229103163e-07,1.2060269544120012e-06,9.64821563529601e-06,True,True,True,False,False
