periodo,anio_inicio,anio_fin,rubro,n_comunas,n_combinaciones,empresa_anios,spearman_r,p_valor_original,p_ajustado_fdr,significativo,cambia_signo_vs_completo,cambia_significancia_vs_completo,muestra_insuficiente
2005-2010,2005,2010,EXPLOTACION DE MINAS Y CANTERAS,105,3512,28344,0.334822862642639,0.00048089601256310965,0.0030456747462330276,True,False,False,False
2005-2010,2005,2010,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION",88,3512,8531,0.2797027113768225,0.008309522774151453,0.031112918482203204,True,False,False,False
2005-2010,2005,2010,INFORMACION Y COMUNICACIONES,135,3512,65385,0.26958045590599494,0.0015676198623280123,0.007446194346058059,True,False,False,False
2005-2010,2005,2010,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",332,3512,666304,0.2144012156407739,8.22567704525012e-05,0.001562878638597523,True,True,False,False
2005-2010,2005,2010,CONSTRUCCION,290,3512,339002,0.209756898680006,0.00032228304656199106,0.0030456747462330276,True,False,False,False
2005-2010,2005,2010,ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,9,3512,1245,0.20083160441856093,0.60437217167933,0.6350460234255466,False,False,False,True
2005-2010,2005,2010,ENSENANZA,127,3512,48420,0.17855536085700568,0.04459103613916484,0.08472296866441319,False,True,False,False
2005-2010,2005,2010,TRANSPORTE Y ALMACENAMIENTO,305,3512,523050,0.14460037157193856,0.011462654177653811,0.031112918482203204,True,False,False,False
2005-2010,2005,2010,INDUSTRIA MANUFACTURERA,306,3512,417122,0.14459044052568984,0.011332715967392935,0.031112918482203204,True,False,False,False
2005-2010,2005,2010,OTRAS ACTIVIDADES DE SERVICIOS,264,3512,251486,0.14348952270112167,0.019677121175257956,0.04673316279123765,True,False,True,False
2005-2010,2005,2010,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,320,3512,221529,0.12374914098316196,0.026860164842801588,0.05670479244591446,False,False,True,False
2005-2010,2005,2010,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,207,3512,195882,0.11458661370354625,0.10016572108418816,0.15859572504996458,False,False,True,False
2005-2010,2005,2010,ACTIVIDADES INMOBILIARIAS,148,3512,129273,0.09081393967463464,0.2723347770606414,0.3727996481852284,False,False,False,False
2005-2010,2005,2010,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",45,3512,4939,0.07270685809954518,0.6350460234255466,0.6350460234255466,False,False,False,False
2005-2010,2005,2010,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,332,3512,1859333,0.06012110794283103,0.2746944776101683,0.3727996481852284,False,False,True,False
2005-2010,2005,2010,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",159,3512,189469,-0.08032899126044535,0.3141531866550898,0.3979273697631137,False,True,False,False
2005-2010,2005,2010,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",99,3512,18736,-0.08171978602337984,0.42132698007702135,0.4708948600860827,False,True,False,False
2005-2010,2005,2010,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,101,3512,92519,-0.0962530829545431,0.3383066758333708,0.40173917755212785,False,False,True,False
2005-2010,2005,2010,ACTIVIDADES FINANCIERAS Y DE SEGUROS,139,3512,206782,-0.16313383329485953,0.05500635288106231,0.09501097315819854,False,False,True,False
2005-2024 (completo),2005,2024,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,342,5263,7241765,0.5751825813835302,1.6375345821573354e-31,3.275069164314671e-30,True,False,False,False
2005-2024 (completo),2005,2024,TRANSPORTE Y ALMACENAMIENTO,338,5263,2247865,0.41788947097319545,1.0194044492501273e-15,1.0194044492501274e-14,True,False,False,False
