rubro,n_comunas,spearman_r_con_2016,p_valor_con_2016,spearman_r_sin_2016,p_valor_sin_2016,diferencia_r,cambia_signo,cambia_conclusion
COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,342,0.5751825813835302,1.6375345821573354e-31,0.5211616301725247,3.292298798085137e-25,0.054,False,False
TRANSPORTE Y ALMACENAMIENTO,338,0.41788947097319545,1.0194044492501273e-15,0.34697086222918583,5.371203626203491e-11,0.0709,False,False
ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,344,0.35946045755740275,6.2498702489641886e-12,0.3425418455589157,7.074331001855908e-11,0.0169,False,False
EXPLOTACION DE MINAS Y CANTERAS,221,0.3478129179200098,1.108676043719116e-07,0.32626703709920657,9.481189663230755e-07,0.0215,False,False
"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION",293,0.3475005269423555,9.690456561758127e-10,0.3494414819030519,1.0063306800017302e-09,-0.0019,False,False
INDUSTRIA MANUFACTURERA,336,0.290926265841131,5.609915287972925e-08,0.28917922458452,6.786837104066366e-08,0.0017,False,False
CONSTRUCCION,335,0.27675537612398204,2.641098770877646e-07,0.28444163378339127,1.1805676559732538e-07,-0.0077,False,False
INFORMACION Y COMUNICACIONES,269,0.24916729332234985,3.580783287410336e-05,0.2402669608868175,8.559823454233965e-05,0.0089,False,False
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,330,0.24272073461471746,8.220015451152511e-06,0.20933699523427718,0.00012767787961152574,0.0334,False,False
ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,33,0.09932982501835899,0.5823413826633943,0.045429661490773876,0.8049919990593956,0.0539,False,False
"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",285,0.09550496926010088,0.10763749396721399,0.10689803160071938,0.07308672803418989,-0.0114,False,False
"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",138,0.0848795524605478,0.3222587133817247,0.04516930387456067,0.6042918610325875,0.0397,False,False
ACTIVIDADES INMOBILIARIAS,293,0.07197152349199885,0.21934136091258713,0.020749339212414925,0.7254024110138138,0.0512,False,False
"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",300,0.04423127308534246,0.44529433599872537,0.043430716430710406,0.45510461426153953,0.0008,False,False
OTRAS ACTIVIDADES DE SERVICIOS,331,0.03533337943941077,0.521780840699525,0.010648340294900497,0.8469572746373571,0.0247,False,False
ENSENANZA,261,-0.10879014944983405,0.07937345026987644,-0.15030904341740117,0.015882368408077017,0.0415,False,True
ACTIVIDADES FINANCIERAS Y DE SEGUROS,247,-0.14113278602914728,0.026559084846449182,-0.07620678869609342,0.2365941034283424,-0.0649,False,True
ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,223,-0.24516001270861557,0.00021814183253563436,-0.2695878677770431,5.097430775037158e-05,0.0244,False,False
"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",341,-0.2680203317597998,5.078008229103163e-07,-0.2617538378732668,9.507493548874147e-07,-0.0063,False,False
